Local time,Napięcie wyjściowe panela słonecznego (V),Napięcie baterii (V),Temperatura powietrza min. (°C),Temperatura powietrza max. (°C),Temperatura powietrza średnia (°C),Wilgotność względna powietrza min. (%),Wilgotność względna powietrza max. (%),Wilgotność względna powietrza średnia (%),Ciśnienie atmosferyczne (hPa),Punkt rosy (°C),Intensywność deszczu (l/m²),Opad deszczu (l/m²),Wilgotność gleby 15 cm (%),Wilgotność gleby 30 cm (%),Wilgotność gleby 15 cm (%),Temperatura gleby 15 cm (°C),Temperatura gleby 30 cm (°C),Temperatura gleby 15 cm (°C)
2026-07-06 08:00:00,15.3,14,14.6,15.93,15.2,68.06,74.1,71.1,1014,10,,0,20.6,26.8,12.9,18,17.7,17.7
2026-07-06 07:00:00,14.3,13.8,12.88,14.65,13.9,74.52,78.79,76.6,1013.9,9.8,,0,20.8,26.7,12.5,18.1,17.7,18
2026-07-06 06:00:00,10.5,13.3,12.33,12.94,12.7,77.26,80.34,78.9,1013.7,9.1,,0,21.3,26.7,12.3,18.3,17.9,18
2026-07-06 05:00:00,6.1,13,11.26,12.08,11.6,81.3,84.5,83,1013.5,8.8,,0,21.7,26.7,12,18.5,18.2,18
2026-07-06 04:00:00,1.5,13,11.55,11.89,11.8,83.2,85.48,84.1,1013.2,9.2,,0,22,26.7,11.5,18.8,18.5,18
2026-07-06 03:00:00,0,13,11.89,13.05,12.4,81.68,85.04,83.8,1013.1,9.7,,0,22.5,26.7,11.4,19,18.8,18
2026-07-06 02:00:00,0,13.1,12.86,13.35,13.1,81.91,83.88,83,1013,10.2,,0,23,26.7,11,19.2,19.2,18
2026-07-06 01:00:00,0,13.1,13.64,14.38,14.1,80.14,81.59,80.8,1012.8,10.8,,0,23.7,27.1,10.7,19.4,19.5,18
2026-07-06 00:00:00,0,13.1,14.11,14.48,14.3,82.11,82.8,82.4,1012.8,11.3,,0,24.3,27.1,10.6,19.6,19.8,18
2026-07-05 23:00:00,0,13.1,14.46,14.91,14.7,81.68,86.85,83.6,1012.8,11.9,,0,25,27.2,10.2,19.8,20.2,18
2026-07-05 22:00:00,0,13.1,14.7,15.66,15.3,81.13,85.24,82.9,1012.3,12.4,,0,25.9,27.5,9.9,19.9,20.5,18
2026-07-05 21:00:00,0.3,13.1,15.78,16.15,15.9,79.57,80.93,80.5,1011.6,12.6,,0,27.2,27.6,9.8,20,20.9,18.2
2026-07-05 20:00:00,2.5,13.5,16.2,17.02,16.6,75.67,78.61,77.2,1011.4,12.6,,0,28,27.8,9.8,20.1,21.2,18
2026-07-05 19:00:00,8.9,13.9,16.96,17.74,17.4,74.93,80.62,76.9,1011.2,13.3,,0,29,27.9,9.8,20.1,21.5,18
2026-07-05 18:00:00,15.4,14,17.05,17.72,17.4,80.55,86.59,83.2,1011.1,14.5,,0,29.5,27.8,9.8,20.1,21.7,18
2026-07-05 17:00:00,13.1,13.8,14.52,16.74,15.5,87.78,91.05,89.4,1010.9,13.7,,0,29.9,28.1,10.3,20,21.8,18
2026-07-05 16:00:00,15.9,14,17.26,22.16,20.7,64.57,74.57,68.9,1010.6,14.8,,0,30.4,28.6,11,19.8,21.4,18
2026-07-05 15:00:00,20.8,14,18.11,21.17,19.3,72.63,81.94,78,1010.6,15.4,,0,30.8,28.4,10.7,19.6,21,18
2026-07-05 14:00:00,19.4,14,17.08,18.41,17.9,80.69,86.25,83.6,1010.9,15,,0,31.5,28.2,10.1,19.5,20.7,18
2026-07-05 13:00:00,17.4,14,16.92,18.93,17.6,73.06,86.45,81.4,1011.4,14.3,,0,31.8,28.4,10.2,19.4,20.4,18
2026-07-05 12:00:00,16.2,14,16.59,19.61,18.2,70.25,81.93,76.7,1011.8,14.1,,0,32.3,28.4,10.3,19.4,20,18
2026-07-05 11:00:00,17.5,14,15.73,17.83,17,78.04,89.12,82.6,1012.2,14,,0,32.5,28.6,10.1,19.4,19.8,18
2026-07-05 10:00:00,11.4,13.8,13.77,14.69,14.3,89.81,90.48,90.2,1012.8,12.7,,0,33.2,28.5,9.8,19.4,19.7,18.3
2026-07-05 09:00:00,10.7,13.7,13.8,13.97,13.9,89.09,90.51,90,1013.3,12.3,,0,33.5,28.6,9.7,19.5,19.7,19
2026-07-05 08:00:00,11.2,13.7,14.09,14.33,14.3,84.57,87.93,85.5,1013.7,11.9,,0,34,29.2,9.4,19.6,19.6,19
2026-07-05 07:00:00,13.6,13.8,14.59,15.15,14.9,80.05,84.57,81.6,1014.2,11.7,,0,34.6,29.4,9.2,19.8,19.5,19
2026-07-05 06:00:00,11.8,13.4,13.35,14.38,13.8,80.83,82.65,81.9,1014.7,10.8,,0,35,29.7,9,20,19.7,19
2026-07-05 05:00:00,6.6,13,12.52,13.12,12.7,83.28,84.12,83.8,1015.1,10.1,,0,35.6,29.9,9,20.2,20,19
2026-07-05 04:00:00,1.8,13,12.16,12.3,12.2,83.54,84.31,84,1015.5,9.6,,0,36.3,30.3,8.5,20.4,20.3,19
2026-07-05 03:00:00,0,13,12.21,12.81,12.5,79.59,83.18,81.5,1015.8,9.4,,0,36.6,30.6,8.2,20.7,20.7,19
2026-07-05 02:00:00,0,13.1,12.89,13.71,13.2,75.75,78.73,77.3,1016.2,9.3,,0,37.1,31,8.1,20.9,21.1,19
2026-07-05 01:00:00,0,13.1,13.82,14.48,14.1,71.99,74.82,73.5,1016.5,9.4,,0,37.5,31.2,7.8,21.2,21.6,19.2
2026-07-05 00:00:00,0,13.1,14.7,15.73,15.2,67.13,71.16,69.2,1016.7,9.6,,0,38.2,31.7,8.5,21.4,22.1,20
2026-07-04 23:00:00,0,13.1,15.65,16.49,16,63.05,66.62,65.2,1016.9,9.5,,0,39.3,32,8.6,21.5,22.5,20
2026-07-04 22:00:00,0,13.1,16.66,18.08,17.3,57.31,62.21,59.8,1017.1,9.4,,0,39.6,32.9,8.9,21.7,22.9,20
2026-07-04 21:00:00,0.3,13.1,18.18,18.66,18.4,55.46,56.91,56.1,1017.1,9.5,,0,40.3,33.2,9.4,21.7,23.3,20
2026-07-04 20:00:00,2.7,13.4,18.68,19.02,18.9,53.96,55.59,54.6,1016.9,9.6,,0,41,33.7,9.5,21.8,23.6,19.5
2026-07-04 19:00:00,6.9,13.9,18.98,19.26,19.1,53.35,54.22,53.8,1016.6,9.5,,0,41.9,33.9,10.3,21.7,23.9,19
2026-07-04 18:00:00,15.7,14,19.36,20.29,19.8,50.77,53.08,51.8,1016.6,9.6,,0,42.8,34.4,10.6,21.5,24,19
2026-07-04 17:00:00,19.8,14,20.42,22.37,21.2,44.22,50.52,47.9,1016.7,9.7,,0,43.5,34.6,11.2,21.2,23.8,19
2026-07-04 16:00:00,21.3,14,21.64,22.83,22.2,43.25,46.22,44.7,1016.9,9.6,,0,44.9,34.7,11.6,21,23.2,19
2026-07-04 15:00:00,20.5,14,20.76,22.29,21.5,46.34,51.39,48.8,1017.3,10.3,,0,44.8,35,11.9,20.7,22.5,19
2026-07-04 14:00:00,20.5,14,18.37,20.59,19.5,53.19,59.96,56.7,1017.8,10.6,,0,44.9,35,11.8,20.6,21.9,19
2026-07-04 13:00:00,19.7,14,17.05,18.34,17.8,59.81,64.45,61.9,1018.2,10.4,,0,45.5,35.3,11.9,20.5,21.4,19
2026-07-04 12:00:00,19,14,16.46,17.35,16.9,63.22,66.48,64.8,1018.6,10.2,,0,46.1,35.2,11.6,20.5,21.1,19
2026-07-04 11:00:00,19,14,16.08,16.75,16.4,65.71,67.88,66.4,1018.8,10.2,,0,46.5,35.3,11.5,20.5,20.9,19
2026-07-04 10:00:00,16.9,14,15.31,16.15,15.7,67.59,69.79,68.5,1018.9,9.9,,0,46.8,35.4,11.2,20.5,20.8,19
2026-07-04 09:00:00,15.1,14,15.2,15.98,15.5,67.55,69.59,68.7,1018.9,9.8,,0,47.2,35.7,11.4,20.6,20.6,19
