LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
1;249170080;Dzierżkowice;Opawa (112);2024;49 59 32;17 50 47;270
2;249180010;Pszczyna;Pszczynka (2116);1954;49 59 44;18 55 09;270
3;249180020;Warszowice;Pszczynka (2116);1946;49 59 31;18 42 20;270
4;249180030;Chałupki;Odra (1);1948;49 55 33;18 19 39;198
5;249180070;Mazańcowice;Wapienica (21128);;49 51 45;18 58 10;269
6;249180090;Rudzica;Iłownica (2112);1948;49 51 12;18 52 57;337
7;249180130;Cieszyn;Olza (114);;49 45 15;18 38 54;295
8;249180150;Wapienica;Wapienica (21128);2006;49 46 25;18 58 24;456
9;249180160;BRENNA;Brennica (21114);1984;49 45 13;18 52 15;350
10;249180170;Błatnia;Brennica (21114);2005;49 44 49;18 56 33;882
11;249180180;Równica, wieś;Wisła (2);1929;49 43 11;18 51 09;768
12;249180210;SZCZYRK;Żylica (213274);1949;49 42 20;19 01 17;593
13;249180220;CZANTORIA;Wisła (2);2005;49 41 00;18 49 11;842
14;249180230;WISŁA;Wisła (2);1947;49 39 17;18 51 41;430
15;249180240;WISŁA-MALINKA;Wisła (2);1956;49 38 41;18 58 03;685
16;249180260;ISTEBNA-KUBALONKA;Olza (114);1974;49 36 13;18 54 04;780
17;249180270;Istebna Młoda-Góra;Olza (114);1949;49 34 50;18 51 43;786
18;249180280;ISTEBNA-STECÓWKA;Olza (114);1948;49 35 07;18 56 25;735
19;249180390;BRENNA Leśnica;Brennica (21114);2005;49 42 36;18 54 11;426
20;249180410;ISTEBNA-WIEŚ;Olza (114);2005;49 34 08;18 53 32;578
21;249180520;RUDZICA;Iłownica (2112);2005;49 51 14;18 52 51;345
22;249180530;ISTEBNA-STECÓWKA;Olza (114);2005;49 35 05;18 56 16;725
23;249180550;Cieszyn;Olza (114);2019;49 46 30;18 36 33;255
24;249180570;Międzyrzecze Górne;Wapienica (21128);2023;49 50 22;18 55 42;312
25;249180580;Goczałkowice-Zdrój;Wisła (2);2023;49 56 18;18 56 02;259
26;249180590;Ruptawa;Olza (114);2023;49 56 12;18 35 22;230
27;249180620;Kończyce Małe;Piotrówka (1146);2023;49 51 08;18 38 20;242
28;249180630;Kiczyce;Wisła (2);2023;49 49 18;18 47 59;283
29;249180640;Brenna-Brennica;Brennica (21114);;49 43 24;18 54 27;403
30;249190010;JAWISZOWICE;Wisła (2);1946;49 57 35;19 08 31;260
31;249190030;LIBERTÓW;Wilga (21372);1950;49 58 21;19 53 42;318
32;249190050;RADZISZÓW;Skawinka (21356);1947;49 56 23;19 48 33;222
33;249190060;SIEPRAW;Skawinka (21356);1948;49 54 17;19 57 53;267
34;249190080;WADOWICE;Skawa (2134);;49 52 55;19 31 07;259
35;249190090;INWAŁD;Wieprzówka (21348);1975;49 52 02;19 23 19;350
36;249190130;MIĘDZYBRODZIE BIALSKIE;Soła (2132);1956;49 47 22;19 11 46;328
